LEFT,RIGHT,DIRECTION
4932.8125,15372.875,Right
6970.625,11554.5625,Right
8859.8125,14604.75,Right
4656.8125,18185.0625,Right
6638.4375,21549.6875,Right
6000.9375,21863.625,Right
5395.875,20630.5,Right
4438.3125,19131.9375,Right
4313.3125,18246.9375,Right
6133.1875,17456.75,Right
6219.125,17575.25,Right
8566.3125,19033.5625,Right
5905.6875,20685.0625,Right
6269.6875,16183.1875,Right
7278,13499.0625,Right
7439.125,21736.625,Right
6054.8125,22330.0625,Right
4784.625,23396.8125,Right
6132.5,22780,Right
4502.875,23363.25,Right
4725,19522.3125,Right
4650.0625,21123.6875,Right
3937.625,21547.6875,Right
4956.875,16732.5,Right
10763.8125,15112.125,Right
8702.8125,18813.625,Right
5201.6875,18393.375,Right
6488.75,21631.4375,Right
5260.75,23118.375,Right
5017.9375,20384.1875,Right
6305.5,19955,Right
5129.125,17831.1875,Right
6772.375,19228.5,Right
6926.5,18541.125,Right
6160.6875,15441.1875,Right
6832.625,19581.6875,Right
6276.6875,20249.125,Right
6451.625,22125.1875,Right
5742.625,22702.875,Right
4457.375,20957.1875,Right
4397.25,22387.6875,Right
4256.1875,22406.5,Right
6938.625,19920.5,Right
14882.4375,19671.6875,Front
19856.1875,11340.75,Front
17642.625,17559.125,Front
18468.8125,17507.9375,Front
17218.9375,17771.5625,Front
18856.1875,17052.0625,Front
20065.0625,8934.375,Front
20572.25,14249.125,Front
18600.875,13308.625,Front
13823.6875,16897.75,Front
9230.75,18437.875,Front
9411.6875,18047.375,Front
15761.8125,14997.4375,Front
16890.375,15590.9375,Front
11875.6875,17471.5,Front
10629.8125,18097,Front
11318.75,18830.25,Front
13753.5625,14774.375,Front
17407.9375,14865.25,Front
15223.8125,13054.5,Front
15915.5,12498.125,Front
16158.5,18247.625,Front
10442.1875,14878.125,Front
15619.875,14696.375,Front
15211.6875,17061.0625,Front
8746,14016,Front
7724.375,14839.6875,Front
12136.0625,11295.5,Front
12954.6875,14363.8125,Front
10491.0625,14570.3125,Front
11746.5625,15588,Front
15530.4375,16955.4375,Front
15105.5,12333.5,Front
9616.25,14682.5,Front
10355.8125,14719.125,Front
10273.875,15041.625,Front
10346.625,15137.6875,Front
11970.75,16282.25,Front
9609.5,17080.875,Front
17931.6875,9355.8125,Front
16739.75,11054.0625,Front
16292.25,12671.6875,Front
16434.375,10766.3125,Front
15024.625,13406.4375,Front
9321.9375,15704.8125,Front
14093.6875,14378.375,Front
13565.25,12633.5,Front
16028.6875,10093.8125,Front
10081.875,14136.6875,Front
12576.0625,18055.375,Front
9703.125,17810.5625,Front
9060.25,13431.75,Front
15809.3125,14693.75,Front
14389.25,14076.6875,Front
13735.125,11731.75,Front
16976.6875,9898.6875,Front
14173.3125,15890.5625,Front
13137.0625,10059.0625,Front
11973.75,14115.4375,Front
13175.0625,16138.1875,Front
11337.3125,14183.5625,Front
15307.75,11529.875,Front
16253.375,13009.625,Front
9369.375,16363.4375,Front
10383.4375,17388.375,Front
9354.125,18027.75,Front
10961.125,13307.125,Front
14509.4375,14774.75,Front
17478.3125,15016.0625,Front
18473.625,9858.75,Front
14669.5625,12812.625,Front
14684.875,15898.1875,Front
11704.3125,13998.3125,Front
11927.625,13964.6875,Front
14037.0625,8380.1875,Front
15743.9375,13647.6875,Front
17948.0625,11905.3125,Front
12882.3125,17728.6875,Front
12426.1875,17271.3125,Front
13853.8125,14620.75,Front
11346.5,19042.5625,Front
12642.5625,18299.375,Front
10758.0625,14421.8125,Front
7857.25,16448.125,Front
7040.4375,16602.0625,Front
6896.625,16968.8125,Front
11464.375,15275.8125,Front
15179.5,14318.9375,Front
9212.0625,16654.625,Front
8117.375,17562.875,Front
11941.875,17026.625,Front
13762.75,11736.9375,Front
13374.75,15129.875,Front
10684.25,17810.4375,Front
18476.5625,13730.75,Front
16674.6875,14925.9375,Front
17969.5,12172.3125,Front
17033.375,12989.8125,Front
17309.3125,17671.375,Front
14308.375,15392.1875,Front
13520.5625,12745.8125,Front
12686.5625,16182.375,Front
9703.125,15052.625,Front
12632.375,15482.6875,Front
14986.3125,11633.625,Front
16645.3125,11423.75,Front
18989.4375,10257.5625,Front
18416.5625,18337.3125,Front
11966.25,17990.375,Front
14220.125,13627.0625,Front
13275.6875,13819.75,Front
11258.625,17690.4375,Front
12584.6875,18044.5,Front
12165.875,17784.9375,Front
15180.9375,17913.6875,Front
17295.5,11637.875,Front
17448.75,11107.0625,Front
19069.75,12861.25,Front
18778.9375,12994.8125,Front
14814.1875,16005.9375,Front
13979.125,16691.9375,Front
18036.6875,15026.8125,Front
12672.3125,17621.5,Front
12623.75,13554.0625,Front
19282.25,11564.0625,Front
18666.25,11195.5625,Front
15174.4375,15514,Front
11331.4375,12041.125,Front
8494.375,14549.5625,Front
12647.25,18606.5625,Front
11566.75,12785.9375,Front
11399.0625,13808.875,Front
13604.875,13589.5,Front
11205.375,14759.5625,Front
11204.25,15380.9375,Front
14546.9375,15009.375,Front
12570.25,10083.8125,Front
14684.5625,11694,Front
14901.125,11420.1875,Front
15526.0625,12496.8125,Front
11194.5,13457.125,Front
13306.875,14946,Front
14771.3125,16208.125,Front
13970.5625,15520.125,Front
10826.8125,13255.6875,Front
11466,15451.3125,Front
14043.9375,14032.3125,Front
12241.25,15331.25,Front
13793.6875,13260.4375,Front
14891.6875,15545.25,Front
12682.75,18106.6875,Front
14095.4375,13835.0625,Front
8912.3125,14961.375,Front
8601.75,17249.1875,Front
11874.4375,14849.9375,Front
13507.75,16926.625,Front
13248.875,12999.625,Front
12525.6875,15319.875,Front
11757.1875,12103.625,Front
12641.1875,16611.875,Front
7690.8125,12357.0625,Front
13033.8125,15082.8125,Front
15160.625,12016.5,Front
15026.0625,12397.1875,Front
17949.1875,9388.4375,Front
12705.125,11168.875,Front
13747.3125,16290.625,Front
14302.125,14322.3125,Front
15776.625,15835.9375,Front
8831.25,15012.6875,Front
11406,13960.3125,Front
15109.875,14883.375,Front
14024.25,13143.3125,Front
14901.625,11584.625,Front
12541.6875,14767.8125,Front
14053.25,10895.1875,Front
14753.5625,15342.4375,Front
15014.625,11570.4375,Front
15069.125,10568.125,Front
14043.875,11273.3125,Front
13485.6875,12843.125,Front
13617.25,13834.3125,Front
15046.375,12553.5,Front
11493.75,15505.1875,Front
12884.4375,12300.75,Front
9473.9375,14188.3125,Front
11948.6875,12637.5,Front
15411.5625,12187.1875,Front
13611.0625,14590.9375,Front
15351.1875,17097.375,Front
13376.0625,10898.75,Front
11635.5,15743.1875,Front
12631.5,12949.3125,Front
15838,10251.6875,Front
9969.5625,14354.25,Front
12281.25,15906.0625,Front
10798.75,15444,Front
13325.875,11680.25,Front
10033.3125,15732.9375,Front
15289.25,13826.875,Front
8676.1875,17596.5,Front
8505.1875,12419.1875,Front
9648.1875,17087.0625,Front
13748.8125,11914.25,Front
15146.0625,13944.5625,Front
11324,13442,Front
12734.1875,12339.9375,Front
12863.25,14231.125,Front
9856.8125,15519.625,Front
12892.125,15434.625,Front
13951.25,11409.4375,Front
12430.9375,12198.9375,Front
16272,13003.3125,Front
15998.375,13728.25,Front
13021,9794.125,Front
14898.8125,15040.75,Front
12099.625,16308,Front
6926.5,14435.5,Front
13768.375,15954.4375,Front
12006.0625,16227.4375,Front
14588.1875,12568.5,Front
14774.9375,16495.75,Front
15231.5625,16639.9375,Front
14880.0625,17214.75,Front
15932.1875,14999.4375,Front
17745.125,14478.375,Front
16387.8125,14732.625,Front
19963.9375,14471.5625,Front
17806.375,14765.5625,Front
11147.125,18863,Front
17304.875,11712.0625,Front
14813.125,18823.875,Front
13371.375,14393.625,Front
18256.625,11477.8125,Front
18268.9375,12032.625,Front
15973,12703.5,Front
15987.4375,10541.9375,Front
16067.875,10091.375,Front
16092.5625,9718.9375,Front
15850.0625,6878.625,Front
17104.625,16850.8125,Front
16263.5625,10757.6875,Front
12010.875,17094.0625,Front
14006.8125,16627.3125,Front
17138.875,14645.0625,Front
12326.75,16089,Front
17730.375,16140.75,Front
16426.4375,16529.875,Front
16419.8125,13698.375,Front
16096.875,14088.25,Front
12423.8125,17530.8125,Front
15067.5,11495.9375,Front
11461.1875,17031.1875,Front
9072.3125,15943.1875,Front
14486.4375,16179,Front
13065.875,17037.875,Front
12491.875,13280.25,Front
16119.25,14157.1875,Front
12986.375,15955.8125,Front
14920.625,14481.25,Front
12385.3125,15990.3125,Front
12986.875,11912,Front
13389.375,14994.375,Front
16508.25,13489.8125,Front
10183.75,16769.4375,Front
10531.5,9052.0625,Front
16025.125,9684.8125,Front
14526.6875,14297.5,Front
16319.5,8948.5,Front
11795.125,14401.875,Front
13199.5625,11604.875,Front
15104.4375,13218.6875,Front
17082.875,13801.5,Front
14168.875,12741.9375,Front
12322.9375,15850.375,Front
8464.5625,15819.9375,Front
11949.4375,16482.5625,Front
12591.1875,15526.25,Front
13262.4375,12960.8125,Front
16987.375,10954,Front
15013.0625,11679.125,Front
15029.4375,11817.4375,Front
13928.1875,15713.25,Front
11784.5625,16457.5,Front
11982.0625,18370.3125,Front
14054.75,16850.5625,Front
10135.75,16868.6875,Front
13758.75,15593.75,Front
14746.875,15176.875,Front
16475.8125,11061.3125,Front
14648.4375,16184.0625,Front
12978.6875,18205.3125,Front
13674.5625,14080.125,Front
13727.125,13670.0625,Front
9197.375,14426.3125,Front
10503.875,18372.9375,Front
7483.8125,15559.0625,Front
15633.625,16166.75,Front
16084.8125,11522.375,Front
13494.6875,10885.875,Back
11044.3125,12580,Back
11684.4375,14642.0625,Back
15094.25,8287.3125,Back
8221.5,11421.8125,Back
10982.4375,11035.75,Back
12342.375,10625.625,Back
10937.5,13371.125,Back
13770.4375,11910.5,Back
10898.875,13219.0625,Back
9971.9375,10421.5,Back
12390.3125,12639.5625,Back
13223.0625,13400.875,Back
7170.3125,16571.0625,Back
8988.875,13600.125,Back
8756.5625,14112.625,Back
13750.6875,12610.875,Back
13704,9739.8125,Back
10807.5625,11025.4375,Back
10010.125,13297.8125,Back
9346.9375,13120.4375,Back
12105.9375,12007.5,Back
9143.75,17126.625,Back
6730.625,18192.25,Back
6826.3125,14329.4375,Back
9110.75,14340.0625,Back
9189.8125,13440.3125,Back
8944,14904.0625,Back
11981.125,11176.0625,Back
12704.3125,12279.0625,Back
8260,14201.25,Back
11293.5625,11643.375,Back
12059.625,8827.4375,Back
10039.5,16351.75,Back
9949.5,15572.1875,Back
10350.5625,14083.5625,Back
8337.625,14230.125,Back
8577.5625,10415,Back
15498.75,11148.1875,Back
12034,8252.125,Back
11539.9375,17367.375,Back
17343.5,11105.5625,Back
17495.25,9560.3125,Back
14329.125,8264.625,Back
12125.6875,9834.5625,Back
13554.5625,12077.0625,Back
13531.625,11585.25,Back
7226.25,16876.25,Back
10893.5,15011.6875,Back
6466.4375,19248.375,Back
16271,8501.875,Back
10200.9375,8655.9375,Back
11513.0625,15006.75,Back
13413,8357.6875,Back
7634.875,13711.375,Back
